273,0.316,1.232,84
100-0,-0.2947,0.7203,0.3931,-0.4895,0.811,-0.489,1.613,83
100-0,-0.2921,0.7211,0.3914,-0.4913,0.474,-0.252,1.553,84
100-0,-0.2902,0.7217,0.3902,-0.4925,0.247,-0.054,1.499,84
100-0,-0.2875,0.7225,0.3884,-0.4943,0.050,0.268,1.432,84
100-0,-0.2857,0.7230,0.3873,-0.4955,-0.076,0.461,1.377,84
100-0,-0.2832,0.7235,0.3859,-0.4972,-0.122,0.517,1.322,83
100-0,-0.2808,0.7239,0.3849,-0.4988,-0.133,0.503,1.233,84
100-0,-0.2794,0.7240,0.3844,-0.4998,-0.083,0.375,1.200,84
100-0,-0.2774,0.7240,0.3839,-0.5013,-0.116,0.301,1.118,83
100-0,-0.2762,0.7239,0.3837,-0.5023,-0.175,0.258,1.060,83
100-0,-0.2744,0.7237,0.3836,-0.5036,-0.318,0.263,0.966,84
100-0,-0.2733,0.7235,0.3836,-0.5046,-0.409,0.274,0.899,84
100-0,-0.2716,0.7232,0.3836,-0.5059,-0.492,0.324,0.836,84
100-0,-0.2705,0.7229,0.3837,-0.5068,-0.525,0.367,0.812,84
100-0,-0.2689,0.7226,0.3838,-0.5080,-0.540,0.390,0.798,84
100-0,-0.2674,0.7221,0.3841,-0.5093,-0.539,0.415,0.815,84
100-0,-0.2665,0.7217,0.3844,-0.5100,-0.526,0.416,0.818,84
100-0,-0.2653,0.7211,0.3850,-0.5112,-0.519,0.436,0.816,83
100-0,-0.2641,0.7203,0.3858,-0.5122,-0.523,0.458,0.824,84
100-0,-0.2635,0.7197,0.3864,-0.5129,-0.532,0.482,0.817,84
100-0,-0.2625,0.7188,0.3874,-0.5139,-0.553,0.518,0.821,84
100-0,-0.2620,0.7182,0.3881,-0.5145,-0.562,0.540,0.820,83
100-0,-0.2615,0.7175,0.3889,-0.5152,-0.570,0.560,0.827,83
100-0,-0.2608,0.7164,0.3902,-0.5161,-0.580,0.592,0.839,84
100-0,-0.2602,0.7152,0.3917,-0.5169,-0.574,0.602,0.859,83
100-0,-0.2599,0.7143,0.3927,-0.5175,-0.563,0.621,0.870,83
100-0,-0.2596,0.7130,0.3944,-0.5182,-0.535,0.648,0.882,84
100-0,-0.2595,0.7120,0.3956,-0.5187,-0.507,0.674,0.882,84
100-0,-0.2594,0.7104,0.3976,-0.5194,-0.480,0.726,0.892,83
100-0,-0.2594,0.7093,0.3990,-0.5198,-0.469,0.757,0.905,84
100-0,-0.2596,0.7075,0.4013,-0.5204,-0.474,0.833,0.927,84
100-0,-0.2598,0.7063,0.4029,-0.5208,-0.483,0.852,0.956,84
100-0,-0.2602,0.7043,0.4054,-0.5213,-0.524,0.914,0.992,83
100-0,-0.2608,0.7021,0.4081,-0.5218,-0.553,0.949,1.035,84
100-0,-0.2613,0.7007,0.4100,-0.5220,-0.581,0.985,1.064,84
100-0,-0.2621,0.6983,0.4130,-0.5224,-0.599,1.035,1.091,84
100-0,-0.2627,0.6967,0.4150,-0.5226,-0.589,1.034,1.113,83
100-0,-0.2638,0.6942,0.4181,-0.5229,-0.576,1.033,1.130,84
100-0,-0.2645,0.6925,0.4203,-0.5231,-0.550,1.040,1.140,84
100-0,-0.2656,0.6900,0.4234,-0.5233,-0.521,1.043,1.164,84
100-0,-0.2664,0.6883,0.4255,-0.5235,-0.498,1.068,1.176,84
100-0,-0.2675,0.6858,0.4285,-0.5237,-0.465,1.041,1.192,83
100-0,-0.2685,0.6835,0.4313,-0.5240,-0.422,1.002,1.204,84
100-0,-0.2692,0.6819,0.4331,-0.5242,-0.373,0.961,1.218,84
100-0,-0.2700,0.6798,0.4355,-0.5246,-0.305,0.882,1.218,84
100-0,-0.2704,0.6784,0.4370,-0.5248,-0.260,0.808,1.220,84
100-0,-0.2710,0.6766,0.4390,-0.5253,-0.183,0.703,1.226,84
100-0,-0.2712,0.6754,0.4402,-0.5256,-0.144,0.616,1.220,84
100-0,-0.2715,0.6739,0.4418,-0.5262,-0.060,0.488,1.217,84
100-0,-0.2716,0.6725,0.4431,-0.5268,0.020,0.363,1.203,83
100-0,-0.2715,0.6716,0.4439,-0.5272,0.068,0.296,1.180,84
100-0,-0.2714,0.6704,0.4451,-0.5279,0.117,0.208,1.140,84
100-0,-0.2712,0.6696,0.4458,-0.5284,0.137,0.137,1.114,83
100-0,-0.2710,0.6685,0.4468,-0.5291,0.154,0.043,1.071,84
100-0,-0.2707,0.6677,0.4475,-0.5295,0.169,-0.030,1.045,84
100-0,-0.2704,0.6666,0.4485,-0.5302,0.161,-0.143,0.998,84
100-0,-0.2701,0.6659,0.4492,-0.5307,0.173,-0.217,0.960,84
100-0,-0.2698,0.6646,0.4502,-0.5316,0.196,-0.324,0.920,84
100-0,-0.2696,0.6638,0.4510,-0.5321,0.213,-0.387,0.892,84
100-0,-0.2693,0.6625,0.4521,-0.5329,0.246,-0.456,0.852,84
100-0,-0.2689,0.6612,0.4533,-0.5337,0.274,-0.507,0.820,84
100-0,-0.2686,0.6605,0.4541,-0.5341,0.283,-0.515,0.795,83
